datetime,timestamp,open,high,low,close,volume
2025-04-23 07:00:00+07:00,1745366400000,2.2138,2.301,2.1902,2.2184,220415571.4
2025-04-24 07:00:00+07:00,1745452800000,2.2183,2.2354,2.1166,2.2049,184941421.4
2025-04-25 07:00:00+07:00,1745539200000,2.2049,2.2193,2.1634,2.1812,134014526.9
2025-04-26 07:00:00+07:00,1745625600000,2.1812,2.2483,2.1796,2.1912,89667472.4
2025-04-27 07:00:00+07:00,1745712000000,2.1912,2.2948,2.1581,2.252,176901254.6
2025-04-28 07:00:00+07:00,1745798400000,2.2521,2.363,2.2184,2.2949,188782972.6
2025-04-29 07:00:00+07:00,1745884800000,2.295,2.3147,2.2217,2.238,109021832.7
2025-04-30 07:00:00+07:00,1745971200000,2.2379,2.2588,2.1235,2.1908,169161178.8
2025-05-01 07:00:00+07:00,1746057600000,2.1907,2.2567,2.1868,2.2123,96594610.5
2025-05-02 07:00:00+07:00,1746144000000,2.2122,2.2411,2.192,2.2093,84810475.2
2025-05-03 07:00:00+07:00,1746230400000,2.2093,2.22,2.176,2.1872,48541368.0
2025-05-04 07:00:00+07:00,1746316800000,2.1872,2.2188,2.151,2.156,58758870.6
2025-05-05 07:00:00+07:00,1746403200000,2.1561,2.2,2.1067,2.1306,129350396.3
2025-05-06 07:00:00+07:00,1746489600000,2.1306,2.1595,2.0777,2.155,110021214.0
2025-05-07 07:00:00+07:00,1746576000000,2.155,2.1716,2.1039,2.1265,91759518.6
2025-05-08 07:00:00+07:00,1746662400000,2.1264,2.3297,2.1176,2.3272,220454318.8
2025-05-09 07:00:00+07:00,1746748800000,2.3272,2.4291,2.2845,2.3439,270485423.5
2025-05-10 07:00:00+07:00,1746835200000,2.3438,2.477,2.3359,2.4711,173584546.1
2025-05-11 07:00:00+07:00,1746921600000,2.4711,2.4844,2.3283,2.367,162582479.5
2025-05-12 07:00:00+07:00,1747008000000,2.3671,2.6549,2.3515,2.5439,507950822.4
2025-05-13 07:00:00+07:00,1747094400000,2.544,2.6053,2.4215,2.5829,230851038.9
2025-05-14 07:00:00+07:00,1747180800000,2.5828,2.6516,2.5194,2.5503,213599727.4
2025-05-15 07:00:00+07:00,1747267200000,2.5504,2.5719,2.3525,2.3856,209320078.3
2025-05-16 07:00:00+07:00,1747353600000,2.3856,2.4399,2.3471,2.3798,136943221.2
2025-05-17 07:00:00+07:00,1747440000000,2.3797,2.3892,2.2984,2.3531,105734565.8
2025-05-18 07:00:00+07:00,1747526400000,2.3531,2.4497,2.332,2.428,110034544.5
2025-05-19 07:00:00+07:00,1747612800000,2.428,2.441,2.2827,2.3803,162880946.4
2025-05-20 07:00:00+07:00,1747699200000,2.3803,2.409,2.3141,2.3565,136293676.8
2025-05-21 07:00:00+07:00,1747785600000,2.3565,2.4288,2.3308,2.3952,175070666.7
2025-05-22 07:00:00+07:00,1747872000000,2.3953,2.4555,2.3881,2.4311,145040194.5
2025-05-23 07:00:00+07:00,1747958400000,2.4311,2.4799,2.2838,2.2966,197335455.4
2025-05-24 07:00:00+07:00,1748044800000,2.2965,2.36,2.2859,2.3303,50781088.2
2025-05-25 07:00:00+07:00,1748131200000,2.3304,2.345,2.266,2.3417,81478273.4
2025-05-26 07:00:00+07:00,1748217600000,2.3416,2.3593,2.2958,2.3103,75168770.0
2025-05-27 07:00:00+07:00,1748304000000,2.3103,2.3543,2.2671,2.3168,94046517.5
2025-05-28 07:00:00+07:00,1748390400000,2.3167,2.3232,2.2265,2.2742,99791200.4
2025-05-29 07:00:00+07:00,1748476800000,2.2742,2.3125,2.238,2.2442,99100514.7
2025-05-30 07:00:00+07:00,1748563200000,2.2441,2.2523,2.1297,2.1398,192557829.6
2025-05-31 07:00:00+07:00,1748649600000,2.1397,2.2065,2.0794,2.1738,109349888.0
2025-06-01 07:00:00+07:00,1748736000000,2.1739,2.1879,2.1231,2.1792,62964847.7
2025-06-02 07:00:00+07:00,1748822400000,2.1792,2.2045,2.1357,2.1965,96478578.8
2025-06-03 07:00:00+07:00,1748908800000,2.1965,2.2821,2.1838,2.2446,110034231.1
2025-06-04 07:00:00+07:00,1748995200000,2.2445,2.2658,2.1951,2.2009,82924089.7
2025-06-05 07:00:00+07:00,1749081600000,2.2009,2.2265,2.0591,2.0936,152227799.7
2025-06-06 07:00:00+07:00,1749168000000,2.0936,2.1903,2.0812,2.1598,92539769.1
2025-06-07 07:00:00+07:00,1749254400000,2.1598,2.1912,2.1475,2.1769,40526697.0
2025-06-08 07:00:00+07:00,1749340800000,2.1768,2.2988,2.1661,2.267,115809963.6
2025-06-09 07:00:00+07:00,1749427200000,2.2669,2.3293,2.2223,2.3211,128620231.2
2025-06-10 07:00:00+07:00,1749513600000,2.321,2.3276,2.2601,2.3074,119887307.8
2025-06-11 07:00:00+07:00,1749600000000,2.3074,2.3379,2.2524,2.2704,118779485.5
2025-06-12 07:00:00+07:00,1749686400000,2.2704,2.2733,2.1706,2.1899,98220197.3
2025-06-13 07:00:00+07:00,1749772800000,2.19,2.1918,2.0828,2.1472,171924272.9
2025-06-14 07:00:00+07:00,1749859200000,2.1473,2.1801,2.1093,2.1394,67644610.7
2025-06-15 07:00:00+07:00,1749945600000,2.1393,2.1759,2.1375,2.1655,46595619.5
2025-06-16 07:00:00+07:00,1750032000000,2.1655,2.337,2.1512,2.238,180775839.0
2025-06-17 07:00:00+07:00,1750118400000,2.2379,2.2572,2.1417,2.159,145998030.0
2025-06-18 07:00:00+07:00,1750204800000,2.1591,2.1808,2.1181,2.1705,95962168.0
2025-06-19 07:00:00+07:00,1750291200000,2.1704,2.1855,2.1441,2.1648,56149358.1
2025-06-20 07:00:00+07:00,1750377600000,2.1647,2.1797,2.0852,2.1194,97632569.9
2025-06-21 07:00:00+07:00,1750464000000,2.1195,2.145,2.0,2.0632,88671293.2
2025-06-22 07:00:00+07:00,1750550400000,2.0632,2.0898,1.9083,2.0172,206511372.5
2025-06-23 07:00:00+07:00,1750636800000,2.0173,2.1706,1.9615,2.1584,175076963.6
2025-06-24 07:00:00+07:00,1750723200000,2.1584,2.2165,2.1316,2.1898,131247333.7
2025-06-25 07:00:00+07:00,1750809600000,2.1897,2.2296,2.1696,2.1859,91578502.0
2025-06-26 07:00:00+07:00,1750896000000,2.1858,2.2127,2.0956,2.1054,120378866.1
2025-06-27 07:00:00+07:00,1750982400000,2.1053,2.1556,2.0671,2.1419,120577000.3
2025-06-28 07:00:00+07:00,1751068800000,2.142,2.2079,2.1336,2.1854,70042779.0
2025-06-29 07:00:00+07:00,1751155200000,2.1855,2.2198,2.1754,2.2061,46097897.5
2025-06-30 07:00:00+07:00,1751241600000,2.2062,2.3271,2.165,2.2362,151525906.2
2025-07-01 07:00:00+07:00,1751328000000,2.2362,2.2537,2.1475,2.172,123558690.1
2025-07-02 07:00:00+07:00,1751414400000,2.1719,2.2917,2.157,2.2336,149340795.4
2025-07-03 07:00:00+07:00,1751500800000,2.2335,2.3135,2.2243,2.2569,148388595.0
2025-07-04 07:00:00+07:00,1751587200000,2.2569,2.2678,2.196,2.2205,72289199.1
2025-07-05 07:00:00+07:00,1751673600000,2.2205,2.2339,2.2014,2.2178,34058390.3
2025-07-06 07:00:00+07:00,1751760000000,2.2177,2.29,2.2086,2.2709,92108127.5
2025-07-07 07:00:00+07:00,1751846400000,2.2709,2.3537,2.2552,2.2708,176317450.7
2025-07-08 07:00:00+07:00,1751932800000,2.2707,2.3223,2.2485,2.3108,106456008.6
